region,prop_pobreza,prop_pobreza_se,prop_pobreza_low,prop_pobreza_upp,n
9,0.09973219855992023,0.005241674555429278,0.08945760536451368,0.11000679175532678,4916
16,0.09966136745508596,0.006049481143952899,0.08780333293956684,0.11151940197060507,3308
1,0.09358234874561974,0.010862050163739,0.0722908424683138,0.11487385502292569,2806
3,0.07549528924892138,0.007059060887181873,0.06165830295943979,0.08933227553840296,3211
15,0.07424184792005256,0.006463422186716924,0.0615724170127301,0.08691127882737502,2718
7,0.07363077332996767,0.0040782976970257425,0.06563660098607418,0.08162494567386117,5169
8,0.07146627829803558,0.0035119639294209954,0.0645822185743416,0.07835033802172955,7076
2,0.06776116837784861,0.006119246920492638,0.05576638081417144,0.07975595594152578,3070
4,0.0673514306676449,0.005175080419976167,0.05720737355259683,0.07749548778269297,2949
10,0.05911665055457121,0.004478014768221854,0.05033896327544668,0.06789433783369574,3924
6,0.05875994863820819,0.0036422957865141236,0.051620415821350366,0.06589948145506601,5077
5,0.058555547862261144,0.0035094302774040633,0.05167645453689988,0.0654346411876224,7356
14,0.04829237045278312,0.0036318765729524776,0.04117326110549211,0.055411479800074125,3861
13,0.03729923255834212,0.0019290965088525668,0.0335178681005642,0.04108059701612003,13202
11,0.033750306597988715,0.005705673265963313,0.022566195281318344,0.04493441791465909,1449
12,0.027259293266954563,0.006020899058222881,0.015457284607380278,0.039061301926528846,1964
