area_label,prop_pobreza,prop_pobreza_se,prop_pobreza_low,prop_pobreza_upp,n_expandido
Rural,0.08370413297550856,0.0027098316460930608,0.07839287132757089,0.08901539462344624,804118
Urbano,0.052783713205171154,0.001157035003915173,0.05051592817488111,0.055051498235461196,6193975
