sexo_label,ingreso_medio,ingreso_medio_se,ingreso_medio_low,ingreso_medio_upp,mediana,mediana_low,mediana_upp,n
Hombre,1402711.4943418019,19048.808572723217,1365372.5026522258,1440050.486031378,920000,901667,950000,28700
Mujer,1112358.4193180185,12774.155280496576,1087318.8439535615,1137397.9946824755,780000,755000,800000,28414
